Index,No.,Clinic,Branch,Location,Open,Tel,lat,lon
1,1,Best Friend Clinic,1,"Soi Sukhumvit 34, Khlong Tan, Khlong Toei",12.00 - 20.00,094 545 4142,13.72488379,100.5733999
2,2,MedPark Hospital,1,"3333 Rama IV Rd, Khlong Toei",24 hours,02 023 3333,13.7081381,100.5836128
3,3,DBN Infertility Clinic,1,"999 9 Rama IX Rd, Suan Luang",08.00 - 16.00,094 262 2894,13.74134449,100.6171747
4,4,Iss Clinic,1,"Siam Square Soi 3, Pathum Wan",10.00 - 22.00,088 044 8800,13.74581,100.53246
5,5,101 Aesthetic Clinic,1,"Siam Square Soi 3, Pathum Wan",11.00 - 21.30,088 077 6000,13.74581,100.53246
6,6,TA-MA-DA Clinic,1,"Glas Haus Ratchada Building, Building A, 3rd Floor, Ratchadaphisek Rd",11:00 - 22:00,081 247 9970,13.8173778,100.5760857
7,7,Hello Clinic,Chidlom,"Piyaplace, 14th Floor, Phloen Chit Rd",10:00 - 19.00,065 664 9297,29.57669,79.87755
8,,Hello Clinic,Ladprao,"Soi Lat Phrao 23 Lane 2, Khwaeng Chan Kasem, Khet Chatuchak",10:00 - 19.00,065 664 9297,13.80764728,100.5755969
9,8,Maline Clinic,Maline Clinic,"Phahonyothin Road, Samsen Nai, Phaya Thai",11:00 - 20.00 ,098 795 4526,13.78053888,100.5449384
10,,,Ramintra,"Ramintra Expressway (Niche3 Project Soi Pradit Manutham 3), Pradit Manutham Rd",11:00 - 20.00 ,099 254 4463,,
11,,,Thonglor,"953 Community Mall, Thong Lo Soi 9 Sukhumvit 53,",11:00 - 20.00 ,092 446 4693,,
12,,,Udon,"Soi Adulyadej, Mak Khaeng Sub-district, Mueang Udon Thani District",11:00 - 20.00 ,096 352 6515,17.4155,102.78636
13,9,Kharis Clinic,1,"Sukhumvit 16, Ratchadaphisek Rd, Khlong Toei,",11:00 - 20:00,088 649 2956,13.72860195,100.5600157
14,10,Dahlia Clinic,Asoke,"Interchange 21, Sukhumvit Road",10:00 - 21:00,099 626 9246,13.73644714,100.5617669
15,,Dahlia Clinic,Silom,"Trinity Complex Building, 2nd Floor, Soi Narathiwat 3",10:00 - 21:00,099 626 9246,38.28873,-75.83299
16,11,Masterpiece Hospital,1,"Sukhothai Road, Dusit",10.00 - 20.00,02 105 4370,13.77959336,100.5137547
17,12,Siraikorn Clinic,1,Huai Khwang,10.00 - 19.00,086 565 6989,13.77660613,100.5793187
18,13,PSC Clinic,1,"BEEHIVE Lifestyle Mall, Muangthongthani",10.00 - 20.00,088 011 7440,,
19,14,KTC Clinic,Silom,"Silom Edge Building, 3rd Floor (silom Edge)",11.00 - 20.00,096 962 9297,51.78694978,-2.222599842
20,,,Bang Khae,"The Mall Bang Khae Branch, 7th Floor, 275 Petchkasem Rd",11.00 - 20.00,096 962 9297,,
21,,,Ratchaphruek,"102 Ratchaphruek Rd,  Bang Ramat, Taling Chan",11.00 - 20.00,096 962 9297,13.76468754,100.4446946
22,15,Mia Clinic,1,"Sukhumvit 63 (Ekamai), Khlong Tan Nuea,",11.00 - 20.00 ,093 919 6563,13.74409879,100.5811111
23,16,Kongju Clinic,1,"S.K.D.Mungkomg Group Building, Ratchadaphisek Rd",10.00 - 19.00,094 948 2226,13.83045651,100.5443473
24,17,Aesthe Clinic,1,"Mong Huad Heng Building , Maeklong, Muang, Samut Songkhram",10.00 - 19.00,061 584 3888,13.40839129,99.99785062
25,18,Chillin Clinic,1,"Thanalai Road, Rop Wiang, Chiang Rai",10.00 - 19.00,088 299 4463,19.90875488,99.83114447
26,19,The Art Clinic,Lat Phrao,"Lat Phrao Rd, Khlong Chaokhunsing, Wang Thonglang",09.00 - 20.00,062 683 8556,13.78030666,100.6197032
27,,,Pattaya,Bang Lamung,09.00 - 20.00,094 459 8556,12.97687832,100.913759
28,,,Siam Square,Siam Square One 3 floor,09.00 - 20.00,099 152 8556,13.74442,100.53336
29,20,Medmetic by Meko,1,"Vibhavadi Rangsit Rd, Din Daeng",09.00 - 20.00,02 114 3000,13.76584186,100.5493974
30,21,Vincent Clinic,Asoke,"Exchange Tower, 3rd Floor, Sukhumvit Road",11.00 - 20.00,061 415 3424,13.72234,100.58107
31,,,Pattaya,"Pattaya Rd, Muang Pattaya, Bang Lamung District",11.00 - 19.00,061 413 8224,12.92579,100.89243
32,,,Rayong,"Noen Phra Sub-district, Mueang Rayong District",11.00 - 19.00,061 420 8624,12.67337446,101.2158932
33,,,Amata Nakhon,"Don Hua Lo, Chon Buri District, Chon Buri",11.00 - 19.00,061 421 1624,13.42217934,101.0345132
34,,,Saha Pat,"Nong Kham, Si Racha District, Chon Buri",11.00 - 19.00,061 415 0724,13.14328587,101.02449
35,,,Nakhon Ratchasima,"Atsadang Rd., Mueang Nakhon Ratchasima, Amphoe Mueang Nakhon Ratchasima",11.00 - 19.00,061 420 1824,14.9764212,102.1057993
36,,,Khonkaen,"Nai Mueang, Mueang Khon Kaen District",11.00 - 19.00,061 420 1924,16.43848032,102.8388998
37,22,Show time Clinic,1,"Ratchadaphisek 26 Alley, Samsen Nok, Huai Khwang",10.00 - 20.00,092 739 2777,13.79916664,100.5756077
38,23,Sowon Clinic,Ladprao,"Ladprao 101/3,  Khlong Chan, Bang Kapi District, ",08.00 - 17.00,097 207 3296,13.76624,100.6478
39,,,Future Park Rangsit,"1st Floor, Phahonyothin Road, Prachathipat, Thanyaburi District,",10.30 - 21.00,097 207 3296,13.98362704,100.6164724
40,,,Ramkhamhaeng 24,"Bangkok Inter Place Hotel 92 Soi Ramkhamhaeng 24, Hua Mak, Bang Kapi District",10.00-19.00,097 207 3296,13.75335124,100.6224418
41,,,Ratchadaphisek 22,"Ratchadaphisek 22 Alley, Samsen Nok, Huai Khwang",08.00-17.00,097 207 3296,13.7972574,100.5754796
42,24,Emma Clinic,Lat Phrao,"Lat Phrao Rd, Khlong Chan, Bang Kapi District",10.00 - 19.00,063 394 7492,13.76624,100.6478
43,,,Phraeksa,"Phraeksa, Mueang Samut Prakan District",10.00 - 20.00,063 235 9094,13.5706167,100.6537391
44,,,Asoke,"Soi Sukhumvit 21, Khlong Toei Nuea, Watthana",10.00 - 19.00,095 746 2823,13.73863039,100.558132
45,,,Rama 2,"Bang Khun Thian-Chai Thalae Rd, Samae Dam",10.00 - 19.00,064 192 2823,13.65602903,100.4298456
46,,,Rangsit,"Phahonyothin Road, Thanyaburi District, Pathum Thani",11.00 - 20.00,063 394 6672,13.98362704,100.6164724
47,,,Chonburi,"Sukhumvit Road, Chon Buri District",10.00 - 19.00,063 394 2974,13.38061,100.99225
48,,,Phitsanulok,Mueang Phitsanulok District,10.00 - 19.00,063 394 6774,16.82448,100.25942
49,25,Seoul - N Clinic,1,"Phahonyothin Road, Lat Yao, Chatuchak",10.30 - 18.00,065 660 8011,13.84255449,100.5772545
50,26,Dermaster,Ekkamai,"Soi Sukhumvit 63, Khlong Tan Nuea",09.00 - 20.00,02 714 4471,13.73049881,100.5863429
51,,,Sathorn,"Sathon Rd, Khwaeng Silom, Bang Rak",10.00 - 19.00,02 235 4745,13.73055213,100.523716
52,,,Chidlom,"Phloen Chit Rd, Lumphini, Pathum Wan",10.00 - 19.00, 02 253 9269,13.74372327,100.545163
53,,,Asoke - Rama 9,"Asok - Din Daeng Rd, Huai Khwang ",10.00 - 19.00,02 246 0042,13.7558552,100.5649389
54,,,CDC,"Ekkamai - Ramintra Rd, Bang Kapi",10.00 - 19.00,02 539 4888,13.76559878,100.6476728
55,27,Mena Clinic,1,"The Jas, Ramindra, Anusawari, Bang Khen",11.00 - 19.30,094 545 5570,13.86229,100.61247
56,28,Flow Clinic,1,"Near Central Eastvile, Pradit Manutham Rd, Lat Phrao",09.30 - 18.30,082 552 2893,13.80361,100.61486
57,29,The Cozy Clinic,1,"Stadium one, Pathumwan",11.00 - 20.00,065 415 5536,13.74713,100.52486
58,30,F Clinic,Muangthongthani,"Chaeng Watthana, Pak Kret",12.00 - 20.00,080 470 9999,13.90577264,100.5230944
59,,,MBK,"MBK 2 floor, Pathumwan",12.00 - 20.00,064 181 0460,27.47216,80.14596
60,,,Sukhumvit 3/1,"Soi Sukhumvit 3/1, Khlong toey nuea",12.00 - 20.00,063 845 1999,13.74302892,100.5536403
